"path_count","point_count","id","label","s_name","s_id"
14,1176,209,car,Dumitru,1663856287467
6,635,210,fish,Dumitru,1663856287467
16,1046,211,house,Dumitru,1663856287467
28,730,212,tree,Dumitru,1663856287467
21,898,213,bicycle,Dumitru,1663856287467
26,1019,214,guitar,Dumitru,1663856287467
7,612,215,pencil,Dumitru,1663856287467
26,1113,216,clock,Dumitru,1663856287467
2,384,217,car,Dd,1663856289505
3,517,218,fish,Dd,1663856289505
20,1797,219,house,Dd,1663856289505
14,1306,220,tree,Dd,1663856289505
7,396,221,bicycle,Dd,1663856289505
11,1372,222,guitar,Dd,1663856289505
18,803,223,pencil,Dd,1663856289505
21,1093,224,clock,Dd,1663856289505
16,789,225,car,Rahul,1663856398326
9,550,226,fish,Rahul,1663856398326
14,599,227,house,Rahul,1663856398326
15,698,228,tree,Rahul,1663856398326
24,900,229,bicycle,Rahul,1663856398326
7,582,230,guitar,Rahul,1663856398326
5,213,231,pencil,Rahul,1663856398326
14,304,232,clock,Rahul,1663856398326
8,735,233,car,tetsusoiwashiro,1663856474373
8,355,234,fish,tetsusoiwashiro,1663856474373
7,355,235,house,tetsusoiwashiro,1663856474373
3,319,236,tree,tetsusoiwashiro,1663856474373
7,321,237,bicycle,tetsusoiwashiro,1663856474373
6,576,238,guitar,tetsusoiwashiro,1663856474373
6,194,239,pencil,tetsusoiwashiro,1663856474373
7,277,240,clock,tetsusoiwashiro,1663856474373
5,928,241,car,STEVE ALAIN,1663856539377
5,359,242,fish,STEVE ALAIN,1663856539377
9,577,243,house,STEVE ALAIN,1663856539377
6,411,244,tree,STEVE ALAIN,1663856539377
9,426,245,bicycle,STEVE ALAIN,1663856539377
7,515,246,guitar,STEVE ALAIN,1663856539377
6,369,247,pencil,STEVE ALAIN,1663856539377
12,696,248,clock,STEVE ALAIN,1663856539377
716,716,249,car,Mechatronod,1663856609845
4,394,250,fish,Mechatronod,1663856609845
9,580,251,house,Mechatronod,1663856609845
7,425,252,tree,Mechatronod,1663856609845
11,369,253,bicycle,Mechatronod,1663856609845
9,682,254,guitar,Mechatronod,1663856609845
12,404,255,pencil,Mechatronod,1663856609845
11,213,256,clock,Mechatronod,1663856609845
5,459,257,car,Allan70,1663856635980
23,865,258,fish,Allan70,1663856635980
9,568,259,house,Allan70,1663856635980
10,622,260,tree,Allan70,1663856635980
12,733,261,bicycle,Allan70,1663856635980
12,892,262,guitar,Allan70,1663856635980
16,432,263,pencil,Allan70,1663856635980
19,659,264,clock,Allan70,1663856635980
14,812,265,car,Pipo,1663856802763
7,535,266,fish,Pipo,1663856802763
21,1471,267,house,Pipo,1663856802763
11,1420,268,tree,Pipo,1663856802763
18,1464,269,bicycle,Pipo,1663856802763
15,1455,270,guitar,Pipo,1663856802763
8,650,271,pencil,Pipo,1663856802763
21,775,272,clock,Pipo,1663856802763
40,1920,273,car,D Connect Zone,1663856858534
51,1545,274,fish,D Connect Zone,1663856858534
32,1442,275,house,D Connect Zone,1663856858534
57,1783,276,tree,D Connect Zone,1663856858534
34,1757,277,bicycle,D Connect Zone,1663856858534
17,984,278,guitar,D Connect Zone,1663856858534
5,325,279,pencil,D Connect Zone,1663856858534
23,824,280,clock,D Connect Zone,1663856858534
7,560,281,car,Natesol,1663857004594
5,147,282,fish,Natesol,1663857004594
7,395,283,house,Natesol,1663857004594
25,448,284,tree,Natesol,1663857004594
11,308,285,bicycle,Natesol,1663857004594
14,403,286,guitar,Natesol,1663857004594
12,418,287,pencil,Natesol,1663857004594
5,256,288,clock,Natesol,1663857004594
